day,month,year,reef,sst,bst,current_dir_to,current_dir_from,current_deg,current_speed,swell,vis,divers,shark_id,rest_frames,rest_seconds,tot_sharks,sharks_in_uvc,maxn,frames,camera_time,maxn_divers
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.11,3,90,1,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.12,2,60,3,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.13,3,90,2,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.14,3,90,1,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.15,12,360,2,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.16,2,60,1,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.17,4,120,2,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.18,1,30,1,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.19,2,60,1,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.20,2,60,2,8,6,1703,851.5,15
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.01,1,30,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.02,2,60,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.03,1,30,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.04,1,30,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.05,1,30,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.06,4,120,2,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.07,5,150,2,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.08,2,60,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.09,2,60,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.10,16,480,2,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.11,1,30,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.12,1,30,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.13,1,30,1,4,3,1370,685,0
27,1,2021,QM,27.2,27,TILT,TILT,NA,0.37,1.9,18,N,QM.27.01.2021.14,12,360,3,4,3,1370,685,0
